,xyz_vaccine,seasonal_vaccine
125,9.068787056022406e-16,4.2594014236977124e-15
126,4.181088128776925e-14,2.5633183491745235e-14
127,9.168533087168466e-22,4.547543954951097e-22
128,5.241647782537223e-16,2.107560409335188e-15
129,1.3618209568973567e-16,9.753177563601787e-16
130,2.0911048089885598e-13,1.1773722112616106e-12
131,1.332566850295704e-14,4.7360702001595064e-14
132,3.395258749092764e-17,3.406008754116653e-16
133,8.095173607966764e-15,1.4370909393119186e-14
134,1.6893124606292104e-21,1.2033942125303282e-20
135,4.9414229067204875e-15,1.5034042618379444e-14
136,2.4466994188218358e-17,9.198003959816861e-17
137,1.9278799210987916e-16,6.420767889606169e-16
138,5.785401569275055e-19,1.2691146451773015e-18
139,1.2120730332455198e-18,4.9595753517650146e-18
140,2.6759840933575806e-17,1.7510347178554868e-17
141,4.644078403985437e-16,4.481759327677217e-16
142,1.2604085826074852e-15,5.713466219260165e-15
143,5.83993971903345e-15,7.0481985982438e-15
144,1.2746659484862105e-13,1.2759927450195777e-13
145,6.639357541959973e-20,9.049940513292144e-20
146,2.0100841398064372e-19,2.7246015928734616e-18
147,3.3795561122714387e-13,9.470606017481694e-13
148,5.622782891264051e-17,6.178700640348515e-17
149,3.048836207607321e-16,2.85102869396462e-16
150,1.5273368514954391e-16,1.010663833197337e-16
151,7.818452382355953e-14,2.9406822631479587e-13
152,1.4151508838930088e-13,1.8426426675034702e-13
153,2.8254538452503073e-14,1.2032634665591625e-13
154,6.892619759936444e-16,1.0614981046398384e-15
155,4.262948067750707e-14,6.872547602057967e-14
156,6.669770262377012e-16,1.0236103341426488e-15
157,1.657310561313005e-11,3.78594236568823e-12
158,1.6581070941336195e-15,3.5670543255452436e-15
159,2.3736889332673673e-23,9.834819167766243e-24
160,3.039389595185749e-19,6.284725448893136e-19
161,9.320303540966177e-19,3.751566942374723e-18
162,9.644612168517695e-18,2.4583660419873205e-17
163,3.694413927112874e-14,9.159443665968572e-14
164,4.684304198681686e-14,8.189688910101683e-14
165,1.1386941029671668e-19,9.82561097534375e-19
166,1.4660798976389957e-18,1.0944836122170275e-17
167,3.8300846555526184e-15,3.4559433932125766e-15
168,1.392764560755591e-17,1.3956365443419224e-17
169,1.218859884026133e-19,1.2834965136714031e-18
170,1.4964184985642366e-20,9.81513078203943e-21
171,1.6582012627990828e-17,1.0548279470280065e-16
172,9.880356111402219e-16,2.1700174136591694e-15
173,4.811870321668934e-17,4.9437423783117765e-17
174,1.319304064711923e-15,3.660047037768601e-15
175,1.2449572146781446e-16,1.5934612318397541e-16
176,6.971054045806176e-14,6.414618140029882e-14
177,1.7366105171622387e-16,6.772574277661283e-16
178,4.7927307401595155e-14,3.7745300615460586e-14
179,1.918737846447654e-13,6.57133064089421e-13
180,3.8352595511003205e-13,9.314367949062865e-13
181,1.89991092841806e-13,4.705010856952413e-13
182,1.8644499628203137e-16,9.276927177329173e-16
183,6.252169535546263e-16,3.431689936576124e-15
184,2.4812594461816346e-16,5.464648417887275e-16
185,8.457658881971791e-20,6.315776571947276e-19
186,8.244979576918029e-15,1.3677084537448426e-15
187,1.5871193293024853e-16,9.815418278015852e-17
188,1.6219005195278917e-17,5.346159641745437e-17
189,7.249189347006519e-13,1.7251932776421092e-13
190,2.9250976726317623e-14,1.090381032751154e-14
191,5.664758323064125e-13,6.432315500677311e-13
192,1.1955673609127358e-15,2.4621869769820328e-15
193,6.807459950467015e-15,5.025369037503281e-14
194,1.959503698860984e-17,2.776982369122356e-17
195,3.4573312959851686e-16,1.6760284873851709e-15
196,1.1635757012291029e-14,1.0093202228930882e-14
197,2.846646706469359e-13,1.2653200488675307e-12
198,7.067283608461819e-15,1.726695149752426e-14
199,3.0882128541240344e-16,9.053826116848774e-16
200,2.6325998980321327e-24,1.4611806471319344e-23
201,9.646611683375155e-17,3.446615375803699e-16
202,1.015515803386761e-15,6.63003714775323e-15
203,6.234577354540208e-14,3.9179509144708395e-14
204,2.3023091721691202e-21,4.404377956845796e-21
205,8.560866697806969e-19,5.094359621968464e-19
206,9.754218507702104e-15,2.5707873683452023e-15
207,1.1772876032949623e-13,5.984598557488436e-13
208,4.539882617521465e-13,8.867739098074614e-13
209,1.018448279995192e-16,7.372974106511329e-16
210,5.456129339858502e-13,8.7582300541892e-13
211,4.435605006089676e-13,1.0951043685674619e-13
212,3.203579139790172e-15,8.45844742286075e-15
213,2.4836302978654833e-17,1.0315538098556275e-16
214,7.463771158823797e-15,1.5646111410000744e-14
215,4.674164809959342e-16,3.973815237134369e-15
216,9.6155549967054e-17,1.7889010991386735e-16
217,1.5274667676116784e-15,8.638652721524918e-15
218,5.0026693256716415e-14,5.633075888821553e-14
219,7.660269237661412e-17,4.823129676700332e-16
220,1.0999499460339163e-16,3.8198905396761393e-16
221,3.814430598550838e-21,1.2311448496283159e-20
222,1.1154863522611784e-16,2.4067226016063704e-16
223,1.466078294002729e-14,2.5307392514304106e-14
224,6.240890193598392e-18,1.354512117408685e-17
225,8.495328800781012e-16,1.6361865991352514e-15
226,7.135278327589304e-16,1.016796775275328e-15
227,3.5322851220969375e-17,2.7391839292573137e-17
228,5.471511543991468e-17,3.1851602545120465e-16
229,1.7346338630761269e-15,2.4227081718323162e-15
230,3.3598177164220686e-19,2.367124522349823e-18
231,5.97425791030354e-13,1.2810732931596592e-12
232,8.761102146472855e-14,1.8223088854196152e-13
233,2.6391639111619003e-14,3.564427724517872e-14
234,1.0279197865272936e-13,2.762138473889596e-13
235,1.6663483888054219e-15,7.617381671040053e-15
236,1.2250585608253252e-16,3.1804902383062236e-16
237,1.482536702883533e-18,3.510867050042058e-19
238,3.521344654680702e-17,1.5721962991610322e-16
239,1.0802544303200263e-14,1.4773706759883774e-14
240,1.147659353441448e-16,1.8258681052668642e-16
241,5.05211605131697e-17,3.548058221156592e-17
242,1.7858080440687722e-16,6.837575749656914e-16
243,6.114126899156009e-21,4.379128053738677e-20
244,3.152230958362032e-16,7.927987010149554e-16
245,2.6656635543881407e-14,6.481585140440108e-14
246,4.885203925772666e-14,5.3390451675658376e-14
247,6.067185662644997e-15,5.016348346391396e-15
248,1.2136542835487986e-19,9.231553893595692e-20
249,6.03116138197768e-15,2.002214500927221e-15
250,1.419694428059266e-21,2.2395293462326584e-21
251,7.12147513244e-17,2.271108983715662e-16
252,6.84824865119054e-14,1.4484290283016868e-13
253,1.2249419642007247e-16,8.289824618233206e-17
254,7.240151544835312e-17,3.8349034382993555e-16
255,5.39843450664566e-18,1.4131504560423933e-17
256,4.518612976757871e-19,3.870601558891686e-19
257,5.1281791011911716e-18,1.800578522372577e-17
258,4.251971857087816e-15,1.0002134665126074e-14
259,1.2746396822811594e-23,7.640593633891247e-24
260,5.45629888195544e-18,8.313151026605364e-19
261,9.022586170669886e-14,3.8089459158551793e-13
262,1.6027763207981626e-14,7.481886601274501e-14
263,9.522567588075755e-15,3.0419122551568236e-14
264,2.291351368602318e-13,1.1176852704954986e-13
265,1.2053201733359843e-12,3.062288888185593e-12
266,5.0427165507249585e-17,1.3686721372884763e-16
267,3.5783841245020375e-15,2.342305666606001e-15
268,1.632989898981902e-16,1.8912831105534925e-15
269,3.853971812463099e-14,2.7724614996286617e-14
270,1.9815092439797266e-15,9.625866491369753e-15
271,1.110054284343628e-19,9.087339978828435e-19
272,1.3467962662023148e-17,6.851093456027636e-18
273,1.3838150516423208e-17,4.9795186202498963e-17
274,8.90238853060222e-17,1.6298747641961007e-16
275,1.812717410870786e-12,6.338833027184603e-13
276,1.7029843333305797e-21,2.8162495867137056e-21
277,6.810317689257073e-15,1.427171927256253e-14
278,2.1957438525267942e-15,6.640890672090174e-15
279,1.7224939001679977e-12,1.075858440727926e-12
280,7.365630926483945e-15,1.7855531816058194e-14
281,7.462251514042214e-13,4.638808662057428e-13
282,4.5238936882803804e-12,4.153888908772834e-12
283,5.02607394718671e-18,2.3767109023719168e-17
284,3.8114249917075337e-25,8.742354504258002e-26
285,1.721387999616986e-17,6.783937518561531e-17
286,3.170004397278012e-16,1.4551034319503102e-15
287,1.0439020250558564e-15,6.643695071178752e-16
288,1.2299760249483508e-14,3.7733213215648535e-14
289,2.7343530078809543e-16,1.5683585112405938e-15
290,1.2607203559953717e-20,1.5226362366758307e-20
291,2.8073478422242052e-14,6.621235647668355e-14
292,7.743430283726006e-16,1.529826309166008e-15
293,8.062117336015026e-20,4.109709926303974e-19
294,2.6388992985247024e-15,7.499355909763851e-16
295,9.368727127282833e-18,1.1361159125251343e-16
296,1.6747089459877956e-12,1.0770822126902046e-12
297,5.542749624267224e-14,9.196956592245894e-14
298,3.4909400997722218e-15,5.477465379331992e-15
299,1.191136767472221e-14,5.0314313919983745e-14
300,1.116358937460709e-19,2.996363518709676e-19
301,1.1704122579750678e-14,2.811642711787935e-14
302,3.8235561137198555e-15,1.0672231596900705e-14
303,6.460727319390944e-17,1.4750229448680016e-16
304,1.2946859600912417e-14,3.331439090612205e-14
305,3.1877534263551173e-16,9.908112322276365e-17
306,3.1863060171883387e-13,6.98773229405392e-13
307,1.5777488671857654e-19,7.730429650572095e-19
308,6.357204755076109e-14,6.669295640159214e-14
309,2.1239847749711798e-13,3.5415371438430586e-13
310,1.5337431108457822e-19,1.436425293058186e-19
311,1.2879218708005241e-15,9.380491855751104e-16
312,6.315473938329692e-15,1.059135248372146e-15
313,1.6554754412481817e-14,1.0632559058483703e-14
314,3.0123535877613983e-25,5.470029638526478e-26
315,1.6748792406519967e-17,2.2373606701576404e-17
316,3.89096980518401e-21,2.915082412359535e-20
317,1.5963896317621233e-17,4.509780957673174e-17
318,8.625969702553339e-18,9.943597557743207e-18
319,4.35919907794188e-15,1.328244363377015e-14
320,3.943444149538873e-17,1.3612971506014316e-16
321,6.169402329425004e-13,5.162174428074321e-13
322,1.3321615400617731e-14,4.183477164729269e-14
323,3.3231562842799333e-15,4.3866490055027385e-15
324,3.956065516483972e-19,5.547979377677763e-19
325,9.227309958793118e-16,3.794375918030296e-15
326,5.847571930715335e-17,5.816700332396588e-17
327,2.0197039967461483e-14,2.878547376689383e-15
328,1.9289741501965645e-16,3.435161932869379e-16
329,2.0936134689367952e-13,5.09632337046383e-14
330,1.5206045101618135e-16,6.657594226201525e-16
331,2.829885217399414e-13,3.8942801751246753e-13
332,3.0033022609837337e-15,6.878349001931573e-15
333,1.798518840528327e-14,6.611569933272555e-14
334,5.355110407419826e-21,7.314423394031155e-21
335,1.1570985367957975e-13,9.035506534626734e-14
336,1.7169620653802996e-14,2.793093775050896e-14
337,2.28654631171788e-17,6.916752177695578e-17
338,7.898723060396391e-16,1.2186455476999275e-15
339,1.4059980226565254e-12,2.8661380659949005e-12
340,6.064344067340825e-15,1.6673550867053023e-14
341,2.5502678874812404e-18,1.0769902412100394e-17
342,1.3530543662916266e-18,3.3884927798995214e-18
343,8.794705314005416e-16,4.225651625827303e-16
344,6.95890688240064e-20,7.891948751029191e-20
345,3.543539429934191e-20,7.655619467573404e-20
346,9.348456041008425e-16,1.9234561482368353e-15
347,8.39865919483887e-15,3.4585006460605544e-15
348,1.499082053073273e-19,1.3555447165300076e-18
349,7.381620260556296e-16,6.256279680145904e-16
350,4.8902919421276566e-14,6.539645722408825e-14
351,3.1203767284172e-13,1.4495427685674547e-13
352,3.9446615555912454e-13,3.7248907792568136e-13
353,3.0617430967435386e-15,5.326204578158958e-15
354,2.5456943023771195e-14,5.4084376824924366e-14
355,1.5302123475568884e-17,1.139988215452691e-17
356,2.8030021438928905e-18,4.407600598577876e-18
357,1.9119991132833043e-16,4.780876451770548e-16
358,4.053777385534309e-14,1.6080264126605032e-13
359,2.2636901318016324e-15,7.0934216316241065e-15
360,1.0695602884419984e-15,4.875538720251501e-15
361,9.61178859582524e-14,7.339553200885038e-13
362,2.184223512603674e-16,1.0048991525805356e-15
363,4.1546960777336623e-16,7.946797067904987e-16
364,4.682574173611286e-15,1.5442552069823016e-14
365,3.579782225564203e-15,9.157400987781209e-15
366,2.8146165825979684e-16,3.1887624896483735e-16
367,4.528637548466818e-14,1.1994584844448985e-13
368,2.230779478127637e-19,3.35925647089624e-19
369,1.482276495058775e-13,9.12724179653391e-13
370,9.917678506880827e-17,5.036926999430732e-16
371,6.724725067316067e-18,2.601331872115072e-17
372,1.95015919937174e-17,1.5687299860228353e-16
373,1.2666740269699254e-16,4.1792586041144014e-16
374,9.19554076782641e-14,1.492903359584429e-13
375,2.100454670501138e-15,2.5555366281275e-15
376,4.837301865071188e-16,1.4154599231295944e-15
377,8.636815503390049e-13,7.706194349586072e-13
378,3.8977553223273625e-16,1.5979406403494865e-15
379,2.552827579214207e-17,1.117184984708672e-16
380,1.9019272044294088e-16,5.20923267369761e-16
381,1.4289175875169648e-21,7.731477992734488e-21
382,3.776987134438807e-17,7.27806486009441e-17
383,3.788528944999612e-15,1.5071987298280537e-14
384,2.2704763870478735e-13,4.600191873560384e-13
385,6.3075411469241e-14,6.340994247712797e-14
386,2.0793544254138876e-16,8.910988800724583e-16
387,2.861939549884467e-14,7.712054010238406e-14
388,4.4453871986232536e-17,1.8224257168436963e-16
389,7.0981345668404196e-15,2.4061261469869638e-14
390,4.49499510698302e-16,1.3938576669184722e-15
391,7.895011922169983e-17,1.8017461715532612e-16
392,8.663330167430057e-17,1.6127015408740042e-16
393,6.055391199533355e-20,3.4380667516144937e-19
394,1.8708086778796005e-18,1.057311480512787e-17
395,3.7572176154186377e-14,4.080849085494617e-14
396,8.275881511155869e-17,5.411720248986125e-16
397,7.174228350314494e-15,2.3607577980297562e-14
398,2.1609440093769943e-17,8.159180649266714e-18
399,1.5490735968743096e-14,1.7461851612389496e-14
400,9.21150582530584e-18,2.5441692420930186e-18
401,3.8642911952479115e-19,2.66205233694714e-18
402,1.832606427349305e-16,5.218561571348744e-17
403,4.724242058831307e-15,8.732126692789713e-15
404,6.52159800655506e-16,7.86311532859654e-16
405,1.942344233735375e-14,3.9976870488212e-14
406,1.3477123170979053e-16,1.5025097661045182e-16
407,1.9019130452211729e-16,4.182581921437105e-16
408,1.2805558964750242e-14,2.836496219636105e-14
409,4.994786211496931e-18,4.361804584753929e-18
410,1.2345141069135297e-16,2.0762954767011686e-16
411,1.4933230778912518e-13,2.088790470876219e-13
412,2.8839876764354133e-13,3.2657011621752527e-13
413,6.96097915883101e-15,2.6109054865823303e-14
414,8.660578050365815e-18,2.8966513537832564e-18
415,3.856479221673222e-18,4.594791795573028e-17
416,2.114727685170774e-19,8.260809788814751e-19
417,8.785392176171176e-23,6.705356313651182e-23
418,1.2089572303242291e-12,4.417380846531176e-13
419,1.954921011332194e-19,6.074322240535926e-19
420,1.438943524443766e-14,1.1758452782067535e-14
421,3.4953947275178445e-15,5.926551451928332e-15
422,1.683589900255811e-18,1.2569399387177004e-17
423,3.2755435354879947e-12,6.797030045135766e-13
424,7.433574181617724e-18,3.221232796828688e-17
425,3.544955154745378e-17,2.366697414010455e-16
426,3.1957125002824907e-15,8.23787633706258e-15
427,1.719816475051847e-14,8.836854773865499e-15
428,1.001764127155884e-15,3.3848377573853967e-15
429,3.635827870234658e-13,6.679092514301096e-13
430,8.54200262314549e-14,3.275300157097982e-14
431,1.4354368890939863e-16,7.972224967500964e-17
432,1.3596651331421125e-16,8.359833046571057e-16
433,1.1256025602248937e-13,1.436855266079782e-13
434,7.037858058321051e-14,6.169472009101733e-14
435,3.425853095618317e-21,7.627778259754106e-21
436,2.4240748773686537e-15,7.973588699555722e-15
437,2.172931306723567e-19,9.31181093730588e-19
438,2.633589460082678e-16,9.941633698367245e-16
439,2.789279975006407e-16,4.547042972590992e-16
440,2.96363301423562e-25,1.0251534236570155e-24
441,1.8782603613895332e-13,3.5685502291366037e-13
442,2.9415170478014896e-19,6.298498234034254e-19
443,9.558592671487874e-18,4.449898413183191e-17
444,1.5052875856248462e-15,1.8923371384121765e-15
445,4.795750167954359e-19,3.4512128293117693e-18
446,3.3635840519202487e-13,6.106519196364427e-13
447,7.27022471811775e-15,5.401032316416347e-15
448,3.527310285655639e-17,2.601992615635469e-16
449,1.3166656033243546e-12,4.83648816991151e-13
450,1.6418312359577764e-16,1.8156272328319214e-16
451,3.8198923996236657e-13,2.284597658086022e-13
452,9.983564855943177e-16,2.356820833332941e-15
453,3.480817844916018e-15,6.229503315744679e-16
454,1.0380266722853004e-14,4.7950954492751475e-14
455,1.7282012090926485e-17,1.2989504826063123e-16
456,7.969184647595088e-17,5.813449476696017e-17
457,3.022314390177683e-15,2.0159494935131367e-14
458,1.058723069028647e-14,5.468048288492672e-14
459,3.3059394130096135e-17,3.413242895988431e-16
460,2.8060170385055775e-15,4.092650969016941e-15
461,3.541669671502571e-14,1.811780934593254e-14
462,2.126011572401329e-21,4.240410326569283e-21
463,1.7012376858762227e-17,3.14797575382447e-17
464,1.2227504218218016e-15,1.6591547401063182e-15
465,3.423309554477902e-15,4.239799231538094e-15
466,6.903032650339755e-14,1.0683723026284696e-13
467,7.19680909203872e-15,2.8250139606754025e-14
468,4.1690681106242986e-19,1.322366000091843e-18
469,1.8593930963621168e-13,6.110890575669882e-13
470,6.730420777027645e-15,7.241782140328799e-15
471,2.2305817897096034e-16,6.682169436078616e-16
472,2.2382304300151192e-17,4.910336032283057e-17
473,4.277138527387625e-21,4.630023692225443e-20
474,6.992901184004547e-19,3.140071902906359e-18
475,6.565113800816909e-17,2.304255616361727e-16
476,5.344228529865789e-15,2.007032346942356e-14
477,4.973880329380488e-16,1.0938460552960005e-15
478,9.308722548421433e-16,1.7679087865506365e-16
479,5.004826915578028e-15,3.264278180258602e-15
480,4.966323078455185e-21,2.9316850752329685e-21
481,2.845962727421077e-17,1.331114213882736e-16
482,5.702988513089222e-14,1.1307991985085098e-13
483,1.5507355261221553e-15,3.0416148289173756e-15
484,1.8050552866486552e-14,6.889699847216366e-14
485,1.2891150941515087e-15,5.008376415416158e-15
486,1.3105761242264496e-18,8.009862144404561e-18
487,4.940017063791198e-13,1.8528531594258051e-13
488,5.685184121310947e-21,4.2489144993359123e-20
489,3.501222662314939e-16,2.1705024549087852e-15
490,9.01070769290714e-15,1.4199140077067655e-14
491,3.8808467936775287e-16,4.070703677048228e-16
492,2.38159583084637e-13,4.689295220741388e-13
493,2.366721961464412e-13,5.12643568226022e-13
494,6.464505614541169e-14,1.7289569039730731e-13
495,5.550365615906584e-19,8.347516208438484e-19
496,5.350223838492418e-13,2.1348451033454144e-12
497,1.5440982713859841e-15,1.106726299493037e-15
498,1.6682019583760875e-20,6.816139549228164e-20
499,1.1484571954198918e-21,1.2432089841554154e-22
500,7.68874152468825e-15,4.4352357343081363e-14
501,8.465616460754863e-22,6.624897103367008e-22
502,3.5702509085079884e-19,2.968135447866572e-18
503,7.528298090172214e-18,1.8146458605258688e-17
504,1.1251494548086055e-20,7.74501420350564e-21
505,8.039037475445098e-14,7.844687409208885e-14
506,2.78596046975328e-19,8.343871774528257e-19
507,9.456169590726781e-14,9.90307163484855e-14
508,1.7074491912847571e-15,1.7184615150985365e-15
509,1.811480177442999e-16,1.3773477829504743e-15
510,7.589492632435861e-19,7.627674606100118e-18
511,2.941221322418249e-19,2.28157581356793e-19
512,4.4354474576324717e-14,2.6449915500128843e-14
513,4.722189379579103e-16,1.9088014010363687e-15
514,5.431133115960781e-15,1.1454693462247276e-15
515,3.0654763339599744e-16,1.0445747702195998e-15
516,2.8789057477689436e-15,7.251807437634964e-15
517,5.553233207117148e-14,1.7202787479465151e-13
518,6.484573901378014e-16,1.5080795047362906e-15
519,5.0035081573205295e-22,8.779714557961206e-23
520,1.3981403848151034e-19,1.2305789014873715e-18
521,1.3367944312354535e-16,4.256411562280509e-16
522,2.6871905660854485e-14,4.7231100017339284e-14
523,6.731373621476015e-17,1.2480830969981078e-16
524,3.0690108260158355e-14,2.2183949356260754e-14
525,5.911499873320291e-17,2.9277019717351146e-16
526,7.640513909923521e-12,1.7369607357029405e-11
527,6.572823648683926e-14,1.056046703632879e-13
528,1.8823034014814716e-17,1.0431932521865444e-16
529,3.3505941153218702e-12,1.4169164347351047e-12
530,1.157608562498769e-16,2.755579966352107e-16
531,1.597489756110936e-17,4.3518672832721927e-17
532,4.953586881147656e-15,3.9485452393304645e-15
533,5.795119569481691e-13,9.068577881588281e-13
534,4.461856515520978e-17,1.8304947411375876e-16
535,1.8103095277559036e-16,7.813305814991689e-16
536,6.005024826413843e-13,2.2797972595238046e-12
537,4.162533528607496e-17,2.171011140046699e-16
538,4.054952608664695e-13,8.360527065388749e-13
539,1.3629375511180932e-12,4.64697911399148e-13
540,5.996135556816887e-14,4.04236896357436e-13
541,3.6343314429683114e-17,7.51562822820668e-17
542,2.762372623425513e-13,6.166274771242433e-13
543,7.834444314683795e-14,1.976394949512154e-13
544,1.0733226780106987e-14,4.452918096795219e-14
545,1.2552132589316547e-15,1.6255820829542779e-15
546,2.7327979041788395e-12,3.584049429864832e-12
547,1.732150773092073e-16,5.516598291030431e-16
548,6.661144728764003e-18,2.4288598958762852e-17
549,2.8815075675936246e-15,1.2735592002949216e-14
550,8.752612154608446e-17,1.761421036178167e-16
551,3.3781483247408467e-17,2.985062677811206e-16
552,4.47507958008977e-17,2.6011175701024027e-16
553,3.295596544965796e-13,2.271552745100752e-13
554,2.602327943893773e-14,9.736062696708896e-15
555,3.3380833548101365e-13,7.918783685186722e-13
556,5.301901169588192e-17,5.286087039219865e-16
557,8.419000644893024e-14,2.2084894584577902e-13
558,3.552008849333078e-21,1.6676720523633724e-20
559,5.199180527121233e-15,1.4891130515131692e-14
560,1.1403738407376337e-19,1.3456136940797658e-19
